id,user_id,created_at,message,category
66,194832,2023-09-27 17:08:05.630484+00,Mornings and evenings skin concer in acne and clear hydreted skin currently i am using bengel for pimples and acnemoist  as a mioister and Cetaphil as cleser,Pimples and Acne Removal
67,194832,2023-09-27 17:08:17.813888+00,?,Other
68,158098,2023-09-27 17:12:33.110213+00,In upper lip I got sweet,Other
69,158098,2023-09-27 17:12:59.639568+00,What is my skin type,Skin Type Specific Concerns
70,264421,2023-09-27 17:37:51.440596+00,I use epysoft it acts as both sunscreen and moisturizer,Product Recommendations
71,264421,2023-09-27 17:38:44.583996+00,Breakout location on cheeks and jaw line,Other
72,264421,2023-09-27 17:39:30.221344+00,I use epysoft it acts as both sunscreen and moisturizer,Product Recommendations
73,264421,2023-09-27 17:40:12.670428+00,Breakout location on cheeks and jaw line,Other
74,264421,2023-09-27 17:42:30.882202+00,Pores appears on my cheeks,General Skincare and Skincare Issues
75,264421,2023-09-27 17:43:01.265263+00,Acne pores on cheeks,General Skincare and Skincare Issues
76,264421,2023-09-27 17:44:48.172339+00,Demotologist suggest me Accutane for pimples,Pimples and Acne Removal
77,264500,2023-09-27 17:45:25.490548+00,Pore appearance,General Skincare and Skincare Issues
78,264421,2023-09-27 17:45:26.367862+00,My doctor suggested me Accutane for pimples,Pimples and Acne Removal
79,264500,2023-09-27 17:46:28.039839+00,Recommendation?,Other
80,264500,2023-09-27 17:46:41.930039+00,Any recommendations?,Other
81,264421,2023-09-27 17:48:24.656375+00,Hi,Miscellaneous and Feedback
82,264421,2023-09-27 17:49:06.306671+00,How would I know my skin tyy,Product Recommendations
83,264512,2023-09-27 17:52:16.683196+00,Mai skin ko fair karne ke liy sbl ke products use kar rhi hu,Product and Routine Questions
84,264512,2023-09-27 17:52:45.406656+00,Mujhe or kya karna chaiye apne color ko fair karne ke liy ?,Other
85,264512,2023-09-27 17:54:27.67509+00,Mujhe apna color fair karna he...mujhe kuch products suggest krdo jisse mera rang saf hojay,Product and Routine Questions
86,264504,2023-09-27 17:55:08.860986+00,How many products do I use?,Product and Routine Questions
87,264504,2023-09-27 17:55:28.588052+00,How many products should I use?,Product and Routine Questions
88,264512,2023-09-27 17:55:39.590825+00,Mujhe ek accha skin care routine btao,Skincare Routine Advice
89,264512,2023-09-27 17:55:56.246212+00,Normal,Other
90,264512,2023-09-27 17:56:53.138659+00,Meal type,Skin Type Specific Concerns
91,264504,2023-09-27 17:58:36.941087+00,"I do my skincare in the morning and evening, in the morning I only use moisturizer and sunscreen. In the evening I use cleanser, liquid hidrator, liquid peeling, vitamin c serum, serum, liquid balancer+moisturizer. It takes 20-30 minutes",Product Recommendations
92,264504,2023-09-27 17:59:15.188517+00,How should I do my skincare? Should I do my skin care in the morning and evening?,Skincare Routine Advice
93,261441,2023-09-27 18:05:57.191807+00,Target issues,Other
94,264532,2023-09-27 18:06:07.42397+00,Pimple,Pimples and Acne Removal
95,261441,2023-09-27 18:06:20.150631+00,How remove pimlpe,Pimples and Acne Removal
96,263323,2023-09-27 20:20:51.593532+00,"got some spots and there so red i think there goin to scar,how do i help it?",General Skincare and Skincare Issues
97,263323,2023-09-27 20:21:40.438108+00,will sudocream help?,Other
98,263315,2023-09-27 20:26:55.370127+00,I have lots of blackheads on my nose and a few spots appear on a weekly/ monthly basis I want to remove this,Pimples and Acne Removal
99,263315,2023-09-27 20:27:24.856431+00,what products are good for my issues,General Skincare and Skincare Issues
100,255050,2023-09-27 20:34:49.361388+00,Sweet Snack,Other
101,255050,2023-09-27 20:35:12.022824+00,Recipie for a sweet snack,Other
102,253837,2023-09-27 22:14:13.880131+00,I have a lot of acne,Pimples and Acne Removal
103,264677,2023-09-27 22:19:59.285749+00,Lots of pimples,Pimples and Acne Removal
104,264677,2023-09-27 22:20:27.130466+00,How to remove pimples and their scars,Pimples and Acne Removal
105,263228,2023-09-27 22:22:17.62172+00,how do i heal a scab from popping a pimple,Pimples and Acne Removal
106,264723,2023-09-28 01:26:44.023763+00,I broke out and it’s like a massive pimple and I can’t tell if it’s like cystic acne or what because it’s been their for like a week and its still as big as it was before,Pimples and Acne Removal
107,264723,2023-09-28 01:27:10.95546+00,Why is my pimple big?,Pimples and Acne Removal
108,264045,2023-09-28 01:47:15.242025+00,Routine and products snapshot,Product and Routine Questions
109,264045,2023-09-28 01:47:56.661122+00,I am using Himalayas neem face wash and Cetaphil moisturizer,Pimples and Acne Removal
110,264154,2023-09-28 01:52:32.728266+00,Oily,Skin Type Specific Concerns
111,264154,2023-09-28 01:52:49.45944+00,2 week,Other
112,264045,2023-09-28 01:55:54.489327+00,Ingredients preferences,Other
113,264045,2023-09-28 01:56:41.846011+00,I am using Himalayas face wash and Cetaphil moisturizer only is these are best for skin in daily,General Skincare and Skincare Issues
114,264045,2023-09-28 01:57:47.289171+00,Morning and evening,Skincare Routine Advice
115,264045,2023-09-28 01:58:04.188197+00,I want a best skin,General Skincare and Skincare Issues
116,264763,2023-09-28 03:12:12.627449+00,My skin so black and acne,Pimples and Acne Removal
117,264763,2023-09-28 03:12:39.267848+00,Skin feel,General Skincare and Skincare Issues
118,264764,2023-09-28 03:28:33.717886+00,Acne,Pimples and Acne Removal
119,264406,2023-09-28 03:51:52.897964+00,Skin concern,General Skincare and Skincare Issues
120,264406,2023-09-28 03:52:20.667026+00,I have pimple what can I do,Pimples and Acne Removal
121,263410,2023-09-28 04:17:50.962432+00,Please help me dissaper my ance and pimples,Pimples and Acne Removal
122,155860,2023-09-28 04:32:08.609759+00,Hey do you know any home remedies for pimples or acne,Pimples and Acne Removal
123,155860,2023-09-28 04:32:24.767984+00,Then tell me,Miscellaneous and Feedback
124,155860,2023-09-28 04:34:11.329253+00,After how many days of using cinnamon and honey can reduce acne,Pimples and Acne Removal
125,155860,2023-09-28 04:35:06.088947+00,Please tell me the benefits of drinking turmeric water,Miscellaneous and Feedback
126,155860,2023-09-28 04:35:46.847533+00,The benefits of drinking turmeric water on skin,General Skincare and Skincare Issues
127,264467,2023-09-28 05:18:12.11834+00,How to control pimples ?,Pimples and Acne Removal
128,264867,2023-09-28 05:33:06.794324+00,My skin type is oily. I want to get rid of pimples and make my skin clear. I want it for daily routine,Pimples and Acne Removal
129,264867,2023-09-28 05:33:49.824173+00,So recommend some skin care products for me,Product and Routine Questions
130,264883,2023-09-28 05:36:15.306242+00,I want  to glowing and fair skin,General Skincare and Skincare Issues
131,264883,2023-09-28 05:36:44.314988+00,Skin routine for glowing skin,Skincare Routine Advice
132,264867,2023-09-28 05:38:21.87171+00,"My skin type is oily, i am getting pimples and breakouts mostly on my nose,also apperance of pores is on my nose. I don't use any skin Products like moisturiser,serum, sunscreen",Product Recommendations
133,264883,2023-09-28 05:39:34.04652+00,Oily skin,Skin Type Specific Concerns
134,264867,2023-09-28 05:39:53.641866+00,How do I get rid of pimples and get a clear skin. What type of skin Products I have to use..?,General Skincare and Skincare Issues
135,264883,2023-09-28 05:40:24.843786+00,What products to use in daily for oily skin,Product Recommendations
136,255133,2023-09-28 06:23:44.676343+00,I have a normal skin type. I want my skin to be clear and healthy. I don’t mind any brand. My skin have black heads and acne scarring.,General Skincare and Skincare Issues
137,264936,2023-09-28 06:24:54.924017+00,Meal type,Skin Type Specific Concerns
138,264936,2023-09-28 06:25:26.062686+00,Meal type,Skin Type Specific Concerns
139,264936,2023-09-28 06:26:09.596359+00,Meal type,Skin Type Specific Concerns
140,264936,2023-09-28 06:26:29.876535+00,Breakfast and lunch,Other
141,264967,2023-09-28 06:40:29.92227+00,Skin feel,General Skincare and Skincare Issues
142,264967,2023-09-28 06:40:39.198222+00,Ok,Miscellaneous and Feedback
143,261085,2023-09-28 07:09:47.580151+00,Ich have combo Skin My T Zone is oily the Rest ist dry,Skin Type Specific Concerns
144,261085,2023-09-28 07:10:10.264002+00,What is My Skin Type,Skin Type Specific Concerns
145,261085,2023-09-28 07:11:32.945769+00,Ich have oily dry Skin,Skin Type Specific Concerns
146,261085,2023-09-28 07:12:09.810696+00,What Produkts schould i use,General Skincare and Skincare Issues
147,265017,2023-09-28 07:15:37.737007+00,My face is oily and little spot,Pimples and Acne Removal
148,265017,2023-09-28 07:16:05.454355+00,How to emprove it,Other
149,265015,2023-09-28 07:18:19.087469+00,Morning,Skincare Routine Advice
150,265015,2023-09-28 07:18:35.421772+00,??,Other
151,264969,2023-09-28 07:31:40.101515+00,Budget is 200 target issue pigmentation and pores,General Skincare and Skincare Issues
152,264969,2023-09-28 07:32:15.324475+00,What to do now,Other
153,264969,2023-09-28 07:32:24.750311+00,What to do now,Other
154,265038,2023-09-28 07:34:57.691428+00,Kon se product,Product and Routine Questions
155,264969,2023-09-28 07:35:03.811023+00,Skin feel like oily and routine is normal cleanser moisturizer then spf in morning and in night cleanser toner serum then moisturizer then just sleep on cotton pillow cover,Product Recommendations
156,264969,2023-09-28 07:36:36.598112+00,Skin feel like oily and routine is just normal cleanser moisturizer then spf in morning and in night cleanser toner serum and moisturizer and just sleep on cotton pillow cover,Product Recommendations
157,264969,2023-09-28 07:36:51.926152+00,What to do now,Other
158,264969,2023-09-28 07:38:40.312837+00,And on my face there is dark complexion what to do for this,Pimples and Acne Removal
159,264969,2023-09-28 07:41:26.825215+00,Morning and evening routine is normal cleanser moisturizer serum spf in morning and cleansers toner serum moisturizer in night and skin concern is pigmentation pimple scars,Product Recommendations
160,264969,2023-09-28 07:43:11.964573+00,Morning and evening routine is normal cleanser moisturizer then spf in morning and in night cleanser toner serum moisturizer and skin concern is pigmentation dark complexion pimple scars,Product Recommendations
161,265050,2023-09-28 07:46:28.285069+00,Special consideration,Other
162,265050,2023-09-28 07:46:44.086863+00,Ok,Miscellaneous and Feedback
163,265050,2023-09-28 07:47:07.463271+00,J,Other
164,265050,2023-09-28 07:47:25.79114+00,Hu,Other
165,264287,2023-09-28 08:12:33.338938+00,What should I do to reduce pimples,Pimples and Acne Removal
166,264287,2023-09-28 08:13:01.527831+00,Suggest some methods to reduce pinples,Pimples and Acne Removal
167,264485,2023-09-28 09:27:45.248982+00,Combination skin type,Skin Type Specific Concerns
168,264485,2023-09-28 09:28:59.902428+00,Get rid of acne,Pimples and Acne Removal
169,265223,2023-09-28 09:34:20.958748+00,Write a message,Other
170,265223,2023-09-28 09:35:01.34747+00,Oily,Skin Type Specific Concerns
171,265223,2023-09-28 09:35:28.474432+00,To get healthy skin,General Skincare and Skincare Issues
172,265223,2023-09-28 09:36:53.985904+00,Both am and pm,Other
173,265223,2023-09-28 09:37:05.11515+00,Ok,Miscellaneous and Feedback
174,265218,2023-09-28 09:37:12.068817+00,Budget,General Skincare and Skincare Issues
175,265218,2023-09-28 09:37:51.612839+00,For remove blackheads,Pimples and Acne Removal
176,265221,2023-09-28 09:38:10.716491+00,I want to reduce my pimples,Pimples and Acne Removal
177,265221,2023-09-28 09:38:41.874057+00,What steps i have to take for reduce pimples spots,Pimples and Acne Removal
178,265221,2023-09-28 09:40:17.401839+00,Evening,Skincare Routine Advice
179,265221,2023-09-28 09:40:39.331895+00,How to reduce the pimples spots,Pimples and Acne Removal
180,265221,2023-09-28 09:41:47.884958+00,Skin,General Skincare and Skincare Issues
181,265221,2023-09-28 09:42:12.585733+00,Some products for reducing dark pimples spots,Pimples and Acne Removal
182,264428,2023-09-28 09:43:12.074776+00,Write a message,Other
183,265221,2023-09-28 09:43:13.943973+00,Home remedies for skin care,Skin Type Specific Concerns
184,264428,2023-09-28 09:43:36.254381+00,Full skin pimple 🙈,Pimples and Acne Removal
185,265221,2023-09-28 09:43:43.354618+00,Turmeric or curd is good for skin,General Skincare and Skincare Issues
186,263336,2023-09-28 10:08:35.61207+00,Morning,Skincare Routine Advice
187,263336,2023-09-28 10:09:32.398974+00,"Redness and acne, using a cleanser and a moisturiser daily for approximately 5 minutes",General Skincare and Skincare Issues
188,263336,2023-09-28 10:11:05.379945+00,"Normal skin, want to get rid of acne and redness. Brand doesn’t matter. Daily",Pimples and Acne Removal
189,263336,2023-09-28 10:12:41.24189+00,Recommendations for daily usage against redness and acne,Pimples and Acne Removal
190,263336,2023-09-28 10:15:21.589949+00,"What is my skin type if I have normal moist, breakouts around the mouth and on the forehead. Often pimples around the mouth and blackheads on the nose. Skin feels oily after wash",Skin Type Specific Concerns
191,265321,2023-09-28 10:27:07.473437+00,Is rice water good for skin?,General Skincare and Skincare Issues
192,265321,2023-09-28 10:27:34.675194+00,Is rice water good for skin and does it make your skin glowing?,General Skincare and Skincare Issues
193,265343,2023-09-28 10:47:27.668346+00,I have acne on my face and neck and don't have a skincare routine yet,Pimples and Acne Removal
194,265343,2023-09-28 10:47:52.371435+00,What should I do to get rid of my acne fast,Pimples and Acne Removal
195,265343,2023-09-28 10:49:27.561606+00,I have acne on my face and neck along with dark spots and I don't have a skin care routine yet,Pimples and Acne Removal
196,265343,2023-09-28 10:49:48.315828+00,What should I do to get rid of my acne and dark spots fast,Pimples and Acne Removal
197,265366,2023-09-28 10:57:44.941562+00,oily skin,Skin Type Specific Concerns
198,265381,2023-09-28 11:06:23.201345+00,i need to know how to get rid of acne and acne scars,Pimples and Acne Removal
199,265381,2023-09-28 11:07:08.600271+00,combination skin,General Skincare and Skincare Issues
200,265381,2023-09-28 11:07:36.751851+00,get rid of acne and acne scars,Pimples and Acne Removal
201,265381,2023-09-28 11:13:04.1933+00,in morning i use cerave blemish control cleanser then toner with salycylic acid and then moisturizer at evening i use the same and use retinol serum. what is your advice,Product Recommendations
202,265400,2023-09-28 11:19:04.935977+00,Skin type:- oily,Skin Type Specific Concerns
203,265400,2023-09-28 11:19:32.650737+00,Primary goal is to remove all the acne and acne scars,Pimples and Acne Removal
204,265442,2023-09-28 11:49:01.435836+00,"Acne, open pores,",General Skincare and Skincare Issues
205,265440,2023-09-28 11:50:41.444127+00,Write a message,Other
206,263551,2023-09-28 11:53:10.692023+00,Product reaction,Product and Routine Questions
207,263551,2023-09-28 11:53:25.263133+00,Ok,Miscellaneous and Feedback
208,264485,2023-09-28 12:06:50.827652+00,"Combination skin type, get rid of acne, prefered brand la roche-posau",Pimples and Acne Removal
209,264485,2023-09-28 12:07:22.421411+00,What type of product I should use?,Product Recommendations
210,265463,2023-09-28 12:13:26.826118+00,Best face wash,General Skincare and Skincare Issues
211,265476,2023-09-28 12:15:54.236143+00,I just use sunscreen,General Skincare and Skincare Issues
212,265476,2023-09-28 12:16:17.510313+00,My skin is oily,Skin Type Specific Concerns
213,265476,2023-09-28 12:16:40.428817+00,How I can improve sun tan,Sleep Concerns
214,265476,2023-09-28 12:17:59.934059+00,All day routine,Skincare Routine Advice
215,265476,2023-09-28 12:18:16.697711+00,How I can improve my tan,Sleep Concerns
216,265476,2023-09-28 12:18:56.135107+00,Sleep quality,Sleep Concerns
217,265476,2023-09-28 12:19:14.737146+00,Night routine,Skincare Routine Advice
218,265476,2023-09-28 12:20:29.593709+00,Best face wash and sunscreen for removing sun tan an acne,Pimples and Acne Removal
219,265476,2023-09-28 12:21:00.345855+00,Best sunscreen and face wash for removing sun tan and acne,Pimples and Acne Removal
220,265476,2023-09-28 12:21:31.527363+00,I need best sunscreen and face wash for removing sun tan and acne,Pimples and Acne Removal
221,6589,2023-09-28 12:27:41.476528+00,"It is rather dry, but oily at some areas. Usually i gaet pimples on my forehead. Pores are large and clogged.",General Skincare and Skincare Issues
222,6589,2023-09-28 12:28:00.335903+00,What is my skin type and why?,Skin Type Specific Concerns
223,261161,2023-09-28 12:53:16.105891+00,Does mastrubation vause acne,Pimples and Acne Removal
224,261161,2023-09-28 12:53:40.05024+00,Does mastrubation increase acne,Pimples and Acne Removal
225,261161,2023-09-28 12:54:56.630357+00,What should i do with big pimples without using any products,Pimples and Acne Removal
226,261161,2023-09-28 12:55:34.356655+00,What should i do with big pimples without having any products,Pimples and Acne Removal
227,195636,2023-09-28 13:15:37.61441+00,Hii,Other
228,195636,2023-09-28 13:15:56.87655+00,Which product may I ise,Product and Routine Questions
229,265605,2023-09-28 13:57:32.924165+00,Ok,Miscellaneous and Feedback
230,265605,2023-09-28 13:58:27.192431+00,Ance,Other
231,265605,2023-09-28 13:58:41.605446+00,Yes,Miscellaneous and Feedback
232,265605,2023-09-28 14:00:30.797878+00,Acne,Pimples and Acne Removal
233,265301,2023-09-28 14:10:23.922219+00,I'm using dermco products,Product and Routine Questions
234,264855,2023-09-28 14:10:36.059605+00,High,Other
235,265301,2023-09-28 14:10:48.419915+00,In Am and Pm,Other
236,265301,2023-09-28 14:12:21.384299+00,I have cystic pimples,Pimples and Acne Removal
237,265301,2023-09-28 14:13:30.885812+00,I have sensitive skin I use drama co product I have dull skin.,Product and Routine Questions
238,265301,2023-09-28 14:14:27.610509+00,Full,Other
239,265301,2023-09-28 14:14:44.589388+00,Dull,Other
240,265301,2023-09-28 14:15:26.974833+00,Dull and dry remove dark spots prefer brands derma co product,Pimples and Acne Removal
241,129666,2023-09-28 14:17:11.892081+00,what skin type my,Skin Type Specific Concerns
242,129666,2023-09-28 14:17:34.714996+00,what skin type do i have,Skin Type Specific Concerns
243,129666,2023-09-28 14:18:56.168936+00,acne budget blackheads whiteheads closed commodores,General Skincare and Skincare Issues
244,262071,2023-09-28 14:26:26.015295+00,Which product such be used for pigmentation on red skin,Product and Routine Questions
245,259299,2023-09-28 14:33:29.573424+00,Skin type Oily,Skin Type Specific Concerns
246,259299,2023-09-28 14:33:54.000643+00,Primary Goal  reduce pimples and clear face,Pimples and Acne Removal
247,265664,2023-09-28 14:35:43.16904+00,black heads,Other
248,265664,2023-09-28 14:36:07.958883+00,how can i eliminate them?,Other
249,265704,2023-09-28 14:54:03.69864+00,"Dark spots, pores , pimples,",Pimples and Acne Removal
250,265704,2023-09-28 14:54:15.780806+00,Yes,Miscellaneous and Feedback
251,265492,2023-09-28 15:18:03.842878+00,oil,Other
252,265761,2023-09-28 15:25:22.11538+00,best product for greasy skin,General Skincare and Skincare Issues
253,265761,2023-09-28 15:25:44.302182+00,best moisturiser for great skin,General Skincare and Skincare Issues
254,264833,2023-09-28 15:30:18.871779+00,Dry pimples,General Skincare and Skincare Issues
255,264833,2023-09-28 15:31:44.629218+00,Recommend me some skin facewash etc,Product Recommendations
256,265736,2023-09-28 15:46:41.444822+00,What products are good for redness,General Skincare and Skincare Issues
257,265736,2023-09-28 15:47:15.533085+00,What products are there to treat redness,Product and Routine Questions
258,245786,2023-09-28 16:18:47.147609+00,Skin tipy olily,General Skincare and Skincare Issues
259,245786,2023-09-28 16:19:13.137606+00,Moustrizer,Other
260,251943,2023-09-28 16:24:32.666446+00,Sensitive,Other
261,251943,2023-09-28 16:24:53.295341+00,Having a lot of pimples,Pimples and Acne Removal
262,265835,2023-09-28 16:25:16.115779+00,"Targetting Overall glow up hyaluronic acid face wash used earlies , prefer ingredients suiting combination skin,budget -below 300, face washes primer moisturizers",Pimples and Acne Removal
263,264441,2023-09-28 16:25:33.469961+00,i have acne for almost 3 -4 years its not going .i use regular products  i dont have any allergies my skin fells itchy sometimes i live in kerala,Product and Routine Questions
264,265835,2023-09-28 16:25:37.281295+00,What,Other
265,264441,2023-09-28 16:26:10.254605+00,how to know what products i should use for my skin,Product Recommendations
266,251943,2023-09-28 16:26:53.026771+00,using salicylic acid 1% facewash and tea tree oil overnight for pimple,Pimples and Acne Removal
267,265845,2023-09-28 16:26:57.292004+00,Home made remedies i will follow,Other
268,265845,2023-09-28 16:27:09.680412+00,Ok,Miscellaneous and Feedback
269,265835,2023-09-28 16:27:59.562047+00,"Morning and skincare routine,dull skin,1 week , combination skin",Skincare Routine Advice
270,265845,2023-09-28 16:28:11.43764+00,My body full of black spots and small type white bumpy spots,General Skincare and Skincare Issues
271,265835,2023-09-28 16:28:26.999476+00,What products must I use,Product and Routine Questions
272,251943,2023-09-28 16:28:31.985068+00,Using tea tree oil with  carrier coconut oil,Other
273,251943,2023-09-28 16:29:46.272779+00,Using salicylic acid face wash and as well as tea tree oil but pimples are not going day by day its increasing,Pimples and Acne Removal
274,251943,2023-09-28 16:31:53.703738+00,Skin concern,General Skincare and Skincare Issues
275,251943,2023-09-28 16:32:14.46764+00,Ok,Miscellaneous and Feedback
276,265704,2023-09-28 16:33:21.318402+00,Oily skin,Skin Type Specific Concerns
277,265704,2023-09-28 16:34:40.809991+00,"Oily skin , glow and clear skin , ayurvedic treatment, products for daily use",General Skincare and Skincare Issues
278,265704,2023-09-28 16:35:18.157933+00,Tell me the problem which I can use for my skin,General Skincare and Skincare Issues
279,265738,2023-09-28 16:39:55.03992+00,I don't have any previous budgets,General Skincare and Skincare Issues
280,265738,2023-09-28 16:40:45.638865+00,I don't have any one above,Other
281,265738,2023-09-28 16:41:45.146395+00,Routine and product snapshots,Product and Routine Questions
282,265847,2023-09-28 16:41:49.154979+00,🙄,Other
283,265738,2023-09-28 16:42:00.66422+00,Skin feel,General Skincare and Skincare Issues
284,265847,2023-09-28 16:42:29.604305+00,Hindi please,Other
285,265847,2023-09-28 16:43:42.874145+00,All,Other
